Song,Artist,Genres,Album,Release_Date,Duration_ms,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Come A Little Closer,Dierks Bentley,"['contemporary country', 'country', 'country road']",Greatest Hits / Every Mile A Memory 2003 - 2008,2008-01-01,282720,42,0.585,0.577,5,-5.752,1,0.0228,0.0587,0.00369,0.102,0.335,80.02
Come And Get It,I Prevail,"['alternative metal', 'nu-metalcore']",Lifelines,2016-10-21,181426,64,0.567,0.987,4,-4.069,1,0.0765,0.000133,2.38e-05,0.371,0.383,107.974
Come & Go (with Marshmello),Juice WRLD,"['chicago rap', 'melodic rap', 'rap']",Legends Never Die,2020-07-10,205484,79,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991
Come On Eileen - Single Edit,Dexys Midnight Runners,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",Come On Eileen / Dubious,2009-01-01,205933,63,0.41,0.874,0,-4.286,1,0.0907,0.197,0.0,0.0843,0.824,107.08
Coming Down,Five Finger Death Punch,"['alternative metal', 'groove metal', 'nu metal']",American Capitalist (Deluxe Edition),2011,241226,58,0.305,0.991,1,-2.927,0,0.488,0.000619,0.0,0.11,0.187,76.374
Confident,Demi Lovato,"['pop', 'post-teen pop']",Confident,2015-01-01,205745,73,0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064
Cool for the Summer,Demi Lovato,"['pop', 'post-teen pop']",Confident,2015-01-01,214739,80,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",Unleashed,2002-01-01,195533,69,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762
Cover Me Up,Morgan Wallen,['contemporary country'],Cover Me Up,2019-04-05,292662,59,0.525,0.437,2,-8.285,1,0.0272,0.236,7.03e-06,0.121,0.195,127.994
Cradles,Sub Urban,['modern indie pop'],Cradles,2019-01-04,209829,4,0.534,0.589,1,-1.865,1,0.325,0.256,6.02e-05,0.176,0.632,78.616
Crazy Bitch,Buckcherry,"['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'sleaze rock']",15,2006-04-11,204960,69,0.661,0.978,1,-3.064,0,0.107,0.0247,0.0,0.0856,0.592,98.019
Crazy Girl,Eli Young Band,"['classic texas country', 'contemporary country', 'country', 'country road', 'heartland rock']",Life At Best,2011-01-01,200706,71,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343
Crossfire,Stephen,['la pop'],Crossfire,2015-12-07,270510,59,0.323,0.558,5,-5.292,0,0.337,0.459,2.81e-06,0.676,0.199,73.552
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,"['dance pop', 'pop rap']",The Papercut Chronicles,2005-02-22,243773,77,0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953
The Cure,Lady Gaga,"['art pop', 'dance pop', 'pop']",Workout Banging Beats,2022-02-25,211363,3,0.696,0.506,8,-4.863,1,0.0325,0.0799,0.0,0.0893,0.516,100.003
Cut the Cord,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']",Threat to Survival,2015-09-18,224596,68,0.447,0.966,7,-2.966,1,0.089,0.00349,0.000198,0.312,0.533,178.105
Dammit,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",Dude Ranch,1997-01-01,165373,67,0.429,0.974,0,-5.136,1,0.0899,0.00168,0.0,0.164,0.33,110.373
Dance (A$$) Remix,Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",Finally Famous,2011-01-01,220293,62,0.787,0.73,11,-6.788,0,0.35,0.0276,0.00157,0.0828,0.739,159.825
"Dance, Dance",Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",From Under The Cork Tree,2005-05-03,180266,78,0.622,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.452
Dance Monkey,Tones And I,['australian pop'],Welcome To The Madhouse (Deluxe),2021-07-16,209438,76,0.824,0.587,6,-6.401,0,0.0937,0.69,0.000105,0.149,0.514,98.029
Dancing in My Room,347aidan,['sad rap'],Dancing in My Room,2020-10-26,180138,73,0.98,0.413,8,-11.052,0,0.101,0.671,7.95e-05,0.17,0.764,119.993
Dancing in the Moonlight,Toploader,['british alternative rock'],Onka's Big Moka,2000,232693,79,0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397
Dancin - Krono Remix,Aaron Smith,['chicago house'],Ibiza 2019,2019-11-11,256000,78,0.751,0.727,10,-9.789,0,0.0304,0.0442,0.0338,0.1,0.28,119.982
Dangerous,Big Data,['metropopolis'],2.0,2015-03-23,280426,61,0.756,0.578,0,-3.886,1,0.0386,0.011,0.00645,0.127,0.955,102.96
Dani California,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",Stadium Arcadium,2006-05-09,282160,79,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184
Darkside,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",NINE,2019-09-20,180960,61,0.497,0.923,4,-3.04,1,0.11,0.00627,0.0,0.082,0.545,155.11
Day Drunk,Morgan Evans,"['australian country', 'contemporary country', 'country road', 'modern country rock']",Things That We Drink To,2018-10-12,194898,61,0.647,0.754,10,-5.446,1,0.0378,0.015,0.0,0.0684,0.755,97.005
Daylight,Matt and Kim,"['brooklyn indie', 'indietronica', 'modern rock', 'shimmer pop']",Grand,2009-01-20,171333,67,0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303
Daylight,Maroon 5,['pop'],Overexposed Track By Track,2012-01-01,225066,70,0.656,0.674,7,-5.473,1,0.0269,0.00242,0.0,0.255,0.369,120.001
Day 'N' Nite (nightmare),Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",Man On The Moon: The End Of Day,2009-09-15,221266,70,0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-06,0.114,0.799,137.996
Dear God,Hunter Hayes,"['contemporary country', 'country', 'country road', 'modern country rock']","Wild Blue, Part I",2019-08-16,175173,51,0.647,0.68,8,-6.697,0,0.0496,0.0834,0.0,0.18,0.592,119.925
"deathwish (feat. nothing,nowhere.)",Stand Atlantic,"['pixie', 'pop punk']","deathwish (feat. nothing,nowhere.)",2021-04-29,147907,53,0.758,0.779,8,-4.405,1,0.038,0.000717,0.0,0.109,0.588,124.987
Deep End Freestyle,Sleepy Hallow,"['brooklyn drill', 'nyc rap']",Deep End Freestyle,2020-04-03,115200,63,0.876,0.479,4,-6.687,0,0.44,0.703,0.0,0.102,0.776,133.858
Deja Vu,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",4 Your Eyez Only,2016-12-09,264746,73,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063
Delirious (Boneless) (feat. Kid Ink),Steve Aoki,"['edm', 'electro house', 'pop dance']",Neon Future I,2014-09-29,223413,61,0.706,0.912,8,-4.44,0,0.0565,0.0195,0.0,0.232,0.925,128.004
Despacito,Luis Fonsi,"['latin pop', 'puerto rican pop']",VIDA,2019-02-01,229360,81,0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928
Desperate Man,Eric Church,"['contemporary country', 'country', 'country road']",Desperate Man,2018-07-13,208733,45,0.711,0.796,10,-5.87,1,0.0341,0.0716,0.0045,0.262,0.901,109.991
DEVIL,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']",ATTENTION ATTENTION,2018-05-04,207986,66,0.354,0.942,7,-3.245,1,0.237,0.00039,6.36e-06,0.431,0.242,119.992
Dicked Down in Dallas,Trey Lewis,['modern country pop'],Dicked Down in Dallas,2020-12-01,201350,69,0.51,0.929,6,-4.685,1,0.0456,0.0608,5.39e-06,0.101,0.438,122.036
Dirt On My Boots,Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",California Sunrise,2016-05-13,201893,75,0.683,0.796,11,-4.179,1,0.0285,0.111,0.0,0.197,0.531,90.031
Dirty Thoughts,Chloe Adams,['alt z'],Dirty Thoughts,2021-11-05,129698,68,0.66,0.462,7,-7.203,1,0.103,0.168,1.37e-06,0.486,0.384,167.098
Dissolve,Absofacto,['shimmer psych'],Thousand Peaces,2017-11-03,224660,66,0.688,0.582,6,-10.668,0,0.0542,0.23,0.000157,0.0663,0.872,85.486
Dixieland Delight - Single Edit,Alabama,"['contemporary country', 'country', 'country road', 'country rock']",The Essential Alabama,2005-05-17,236426,1,0.464,0.405,7,-12.538,1,0.033,0.208,1.1e-05,0.0611,0.514,95.852
Does To Me (feat. Eric Church),Luke Combs,"['contemporary country', 'country']",What You See Is What You Get,2019-11-08,223320,0,0.616,0.849,0,-4.897,1,0.0373,0.308,0.0,0.311,0.639,113.066
Do I,Luke Bryan,"['contemporary country', 'country', 'country road']",Doin' My Thing,2009-01-01,239413,65,0.581,0.691,9,-5.33,1,0.0333,0.257,0.0,0.11,0.299,137.985
Do It To It,ACRAZE,['pop dance'],Do It To It,2021-08-20,157890,82,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927
Do I Wanna Know?,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM,2013-09-09,272394,88,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
Donald Trump,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",Best Day Ever (5th Anniversary Remastered Edition),2016-06-03,164522,62,0.716,0.936,1,-4.968,0,0.123,0.0318,0.0,0.367,0.799,81.508
Don't Let Me Down,The Chainsmokers,"['electropop', 'pop', 'tropical house']",Don't Let Me Down,2016-02-05,208373,81,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803
Don't Mind,Kent Jones,"['miami hip hop', 'viral trap']",Don't Mind,2016-04-25,198236,66,0.464,0.771,8,-4.503,1,0.336,0.0235,0.0,0.063,0.69,158.777
Don't Start Now,Dua Lipa,"['dance pop', 'pop', 'uk pop']",Don't Start Now,2019-10-31,183290,79,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941
The Downfall of Us All,A Day To Remember,"['alternative metal', 'metalcore', 'pop punk', 'screamo']",Homesick,2009,209093,0,0.589,0.881,0,-4.62,1,0.0666,0.000256,0.0,0.327,0.709,129.95
Down On The Corner,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Willy And The Poor Boys (Expanded Edition),1969-11-02,166280,75,0.858,0.544,0,-9.289,1,0.0751,0.583,0.00109,0.0707,0.874,108.217
Down with the Sickness,Disturbed,"['alternative metal', 'nu metal', 'rap metal', 'rock']",The Sickness,2000-03-07,279213,77,0.695,0.876,3,-4.262,0,0.0553,0.000996,6.89e-06,0.106,0.941,89.954
Dreams - 2004 Remaster,Fleetwood Mac,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",Rumours (Super Deluxe),1977-02-04,257800,85,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
Dress,Charlotte Sands,['alt z'],Dress - EP,2022-06-10,143500,0,0.807,0.438,5,-9.596,1,0.182,0.028,0.0,0.454,0.793,114.994
Drift Away,Uncle Kracker,"['country', 'pop rock', 'post-grunge']",No Stranger to Shame,2002-07-09,255560,68,0.583,0.66,11,-5.078,1,0.0377,0.181,0.0,0.0979,0.861,151.956
Drink Up,Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",a girl a bottle a boat,2017-01-27,210266,41,0.603,0.937,6,-2.988,1,0.0447,0.00726,5.59e-06,0.105,0.771,108.987
drivers license,Olivia Rodrigo,['pop'],SOUR,2021-05-21,242013,86,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
Driving Me Crazy,Sammy Adams,['indie pop rap'],Boston's Boy,2010-03-04,243603,42,0.79,0.718,8,-4.053,1,0.0357,0.00365,0.0,0.1,0.849,120.98
Drunk On A Plane,Dierks Bentley,"['contemporary country', 'country', 'country road']",RISER,2014-01-01,254466,71,0.423,0.73,9,-5.566,1,0.032,0.00495,1.13e-05,0.238,0.66,205.972
Drunk on Your Love,Brett Eldredge,"['contemporary country', 'country', 'country road', 'modern country rock']",Illinois,2015-09-11,173960,64,0.443,0.831,11,-5.606,1,0.0616,0.414,0.0,0.204,0.588,182.064
Dumb Ways to Die,Tangerine Kitty,[],Dumb Ways to Die,2012-11-01,180022,67,0.752,0.415,0,-8.575,1,0.0317,0.667,0.0,0.185,0.437,127.798
E,Matt Mason,"['modern country pop', 'modern country rock']",The Writers Collection Volume One,2017-04-21,228826,67,0.657,0.736,9,-7.73,0,0.0768,0.0817,0.0,0.302,0.379,113.96
Earned It (Fifty Shades Of Grey),The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Highlights,2021-02-05,277724,77,0.658,0.282,2,-8.282,0,0.0353,0.433,0.0,0.0741,0.39,119.757
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Fifty Shades Of Grey (Original Motion Picture Soundtrack),2015-02-09,250973,63,0.667,0.342,2,-5.93,0,0.0325,0.397,0.0,0.0945,0.453,119.882
Eighteen Cool,Hoodie Allen,['indie pop rap'],All American,2012-04-10,208078,42,0.723,0.883,0,-3.231,1,0.0354,0.11,0.0,0.129,0.836,81.018
Electric Love,BØRNS,"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pov: indie']",Dopamine,2015-10-16,218106,82,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041
Empire State Of Mind,JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",The Blueprint 3,2009-09-08,276920,83,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585
Enemies,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']",Amaryllis,2012-03-23,188093,67,0.507,0.966,1,-2.635,1,0.046,0.00159,0.0,0.336,0.502,136.035
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,"['modern rock', 'pop', 'rock']",Enemy (with JID) [from the series Arcane League of Legends],2021-10-28,173381,83,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011
Even Though I'm Leaving,Luke Combs,"['contemporary country', 'country']",What You See Is What You Get,2019-11-08,225253,71,0.554,0.755,2,-6.04,1,0.0319,0.225,0.0,0.301,0.624,77.962
Everybody Wants To Rule The World,Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'sophisti-pop', 'synthpop']",Songs From The Big Chair (Super Deluxe Edition),1985-02-25,251488,88,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067
Every Other Memory,Ryan Hurd,"['contemporary country', 'modern country rock']",Every Other Memory,2020-04-20,219192,52,0.633,0.732,0,-6.995,1,0.0351,0.000475,0.0,0.108,0.515,103.019
EVOLVE,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']",ATTENTION ATTENTION,2018-05-04,176693,45,0.427,0.976,7,-2.287,1,0.0629,8.06e-06,0.745,0.279,0.486,76.016
Ex's & Oh's,Elle King,['modern blues rock'],Love Stuff,2015-02-13,202173,74,0.612,0.921,7,-2.882,1,0.085,0.0183,0.0,0.0576,0.446,139.988
Face Down,The Red Jumpsuit Apparatus,"['alternative metal', 'neon pop punk', 'pop punk', 'post-grunge', 'screamo']",Don't You Fake It,2006-01-01,192000,76,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956
Fall,Eminem,"['detroit hip hop', 'hip hop', 'rap']",Kamikaze,2018-08-31,262493,65,0.83,0.546,1,-5.716,1,0.295,0.227,0.0,0.112,0.535,182.973
Falling,Trevor Daniel,['melodic rap'],Falling,2018-10-05,159381,9,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085
Fall In Love,Bailey Zimmerman,['modern country pop'],Fall In Love,2022-02-11,232058,80,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962
Fancy Like,Walker Hayes,"['contemporary country', 'country', 'country road', 'modern country rock']",Country Stuff,2021-06-04,161853,5,0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018
Farmer's Daughter,Rodney Atkins,"['contemporary country', 'country', 'country road']",It's America,2010-06-29,207040,66,0.612,0.791,6,-3.519,1,0.0291,0.224,0.0,0.112,0.786,133.977
Fashionably Late,Falling In Reverse,"['pop punk', 'rap metal']",Fashionably Late (Deluxe Edition),2013-06-18,213371,65,0.675,0.97,8,-2.164,1,0.0613,0.00777,0.0,0.331,0.568,106.973
Fat Lip,Sum 41,"['alternative metal', 'canadian pop punk', 'canadian punk', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'rock']","All Killer, No Filler",2001-01-01,178266,75,0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505
Feed the Machine,Poor Man's Poison,['deathgrass'],Feed the Machine,2020-07-17,183288,56,0.636,0.526,4,-7.649,0,0.0844,0.463,0.0,0.439,0.7,175.982
Feeling Good,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",It's Time,2005-02-08,237333,73,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144
Feel It Still,Portugal. The Man,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",Woodstock,2017-06-16,163253,79,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028
Feels Like Summer,Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",Pacific Daydream,2017-10-27,195893,55,0.53,0.867,11,-4.989,1,0.0504,0.02,0.000248,0.737,0.74,175.981
Feel So Close - Radio Edit,Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",18 Months,2012-10-29,206413,82,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937
Fight Back,NEFFEX,[],Fight Back: The Collection,2018-11-30,200571,74,0.716,0.946,1,-3.412,1,0.261,0.094,6.63e-05,0.0825,0.587,139.943
Fight Song,Rachel Platten,"['post-teen pop', 'viral pop']",Wildfire,2016-01-01,204013,78,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924
Fine Apple,Nic D,[],Fine Apple,2021-01-17,153296,0,0.924,0.557,2,-5.362,1,0.0466,0.175,0.0,0.126,0.467,120.007
First Date,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",Take Off Your Pants And Jacket,2001,171533,76,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594
First Day Out,Tee Grizzley,"['detroit hip hop', 'detroit trap', 'rap', 'southern hip hop', 'trap']",My Moment,2017-04-07,254693,72,0.587,0.711,1,-6.33,1,0.42,0.171,0.0,0.125,0.381,98.008
Fishin' in the Dark,Nitty Gritty Dirt Band,"['country rock', 'heartland rock']",Hold On,1987-04-01,202786,63,0.771,0.283,2,-16.326,1,0.0444,0.198,0.0,0.0888,0.906,77.756
Five More Hours,Deorro,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'melbourne bounce international', 'pop dance', 'progressive electro house', 'tropical house']",Good Evening,2017-03-31,211975,72,0.699,0.883,5,-3.226,0,0.219,0.0288,0.0,0.817,0.499,127.961
Fix,Chris Lane,"['contemporary country', 'country', 'country road', 'modern country rock']",Girl Problems,2016-07-12,190240,53,0.532,0.883,0,-2.743,0,0.0352,0.0951,0.0,0.304,0.7,99.995
Fix a Drink,Chris Janson,"['contemporary country', 'country', 'country road', 'modern country rock']",EVERYBODY,2017-09-22,188933,63,0.563,0.887,1,-5.013,1,0.0857,0.0297,0.0,0.352,0.794,158.05
Flora-Bama,Kenny Chesney,"['contemporary country', 'country', 'country road']",The Big Revival,2014-09-22,270866,52,0.534,0.702,7,-5.442,1,0.0251,0.00145,0.00472,0.12,0.301,84.025
Flower,Moby,"['downtempo', 'electronica']",Play & Play: B Sides,2008-06-02,206293,3,0.686,0.61,7,-5.902,1,0.0262,0.19,0.000931,0.071,0.766,80.567
FMRN,Lilyisthatyou,['alt z'],FMRN,2021-07-02,122655,0,0.735,0.586,8,-7.777,1,0.13,0.382,0.0,0.101,0.83,89.951
Follow Me,Uncle Kracker,"['country', 'pop rock', 'post-grunge']",Double Wide,2000-06-13,218439,72,0.817,0.585,5,-4.688,1,0.0301,0.439,0.0,0.147,0.916,105.014
forget me too (feat. Halsey),Machine Gun Kelly,"['ohio hip hop', 'pop rap']",Tickets To My Downfall,2020-09-25,171620,72,0.654,0.875,1,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975
Fortunate Son,Creedence Clearwater Revival,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",Willy And The Poor Boys (40th Anniversary Edition),1969-11-02,140773,0,0.643,0.669,0,-7.485,1,0.0398,0.208,0.00664,0.151,0.609,132.709
Fourth Of July,Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",American Beauty/American Psycho,2015-01-20,224360,59,0.481,0.974,4,-3.388,0,0.136,0.139,0.00998,0.406,0.516,79.964
Freaks - Radio Edit,Timmy Trumpet,"['australian dance', 'big room', 'melbourne bounce', 'melbourne bounce international']",Freaks,2014-03-10,169160,68,0.882,0.965,4,-0.818,1,0.13,0.0136,0.388,0.206,0.759,128.129
Fresh Eyes,Andy Grammer,"['neo mellow', 'post-teen pop']",The Good Parts,2017-12-01,198001,70,0.828,0.56,0,-6.685,1,0.0327,0.548,3.66e-05,0.15,0.872,122.054
Frick Park Market,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",Blue Slide Park,2011-11-08,197559,49,0.592,0.808,6,-5.643,1,0.0598,0.0225,0.0,0.293,0.227,156.125
FRIENDS,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",FRIENDS,2018-02-09,202620,79,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079
Friends in Low Places,Brooks Jefferson,[],Strummin' On Garth,2015-03-13,258507,64,0.553,0.655,9,-5.837,1,0.0355,0.617,0.0,0.0825,0.624,107.739
The Funeral,Band of Horses,"['chamber pop', 'indie folk', 'indie rock', 'indietronica', 'modern rock', 'stomp and holler']",Everything All The Time,2006-03-21,322173,0,0.318,0.76,0,-6.115,0,0.0435,0.016,0.0,0.102,0.104,122.414
Galway Girl,Ed Sheeran,"['pop', 'uk pop']",÷ (Deluxe),2017-03-03,170826,80,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943
Galway Girl,Ed Sheeran,"['pop', 'uk pop']",Pop Up,2021-08-27,168253,18,0.599,0.813,9,-5.882,1,0.0846,0.0783,0.0,0.476,0.809,100.192
Gasoline,Halsey,"['electropop', 'etherpop', 'indie poptimism', 'pop']",BADLANDS (Deluxe),2015-08-28,199593,73,0.731,0.58,10,-7.328,0,0.0399,0.223,0.0,0.129,0.319,119.997
Get Along,Kenny Chesney,"['contemporary country', 'country', 'country road']",Get Along,2018-04-06,199626,45,0.602,0.805,7,-6.079,1,0.0473,0.0997,0.0,0.172,0.322,92.401
GET UP,Shinedown,"['alternative metal', 'nu metal', 'post-grunge']",ATTENTION ATTENTION,2018-05-04,245786,58,0.552,0.935,0,-4.096,1,0.0623,0.0174,1.98e-06,0.116,0.38,74.954
Get Up (Rattle),Bingo Players,"['big room', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']",Get Up (Rattle),2013-01-01,166760,41,0.802,0.981,7,-2.708,1,0.0658,0.0204,3.55e-06,0.256,0.804,127.974
Get You Good,Roy Woods,"['canadian contemporary r&b', 'canadian hip hop', 'trap soul']",Exis,2015-07-31,226632,57,0.69,0.502,0,-7.078,0,0.0638,0.0306,0.0,0.145,0.329,86.187
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,"['europop', 'swedish pop']",Voulez-Vous,1979,292613,82,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528
Gimme Love,Joji,['viral pop'],Nectar,2020-09-24,214557,66,0.484,0.632,5,-6.917,1,0.0976,0.695,0.0243,0.209,0.0736,126.384
Girls Like You,Maroon 5,['pop'],Red Pill Blues (Deluxe),2018-06-15,215229,74,0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635
Give and Take,Poor Man's Poison,['deathgrass'],In the End,2021-08-27,197217,50,0.672,0.605,7,-7.725,1,0.0337,0.646,0.0,0.252,0.815,95.017
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,"['dance pop', 'miami hip hop', 'pop']",Planet Pit (Deluxe Version),2011-06-17,252306,83,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024
Gives You Hell,The All-American Rejects,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",When The World Comes Down,2008-01-01,213106,70,0.718,0.691,4,-6.44,1,0.0387,0.0159,0.0,0.0627,0.552,100.008
Glory Days,The Federal Empire,"['bossbeat', 'modern alternative rock']",Glory Days,2017-11-20,183860,53,0.505,0.686,5,-7.095,0,0.0436,0.0915,0.0,0.139,0.5,74.943
God Gave Me You,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",Red River Blue (Deluxe Edition),2011-07-11,229533,64,0.483,0.844,2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977
God's Country,Blake Shelton,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",God's Country,2019-03-29,205106,71,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984
God's Plan,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Scorpion,2018-06-29,198973,86,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169
Godzilla (feat. Juice WRLD),Eminem,"['detroit hip hop', 'hip hop', 'rap']",Music To Be Murdered By,2020-01-17,210800,83,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995
Go Flex,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Stoney (Deluxe),2016-12-09,179613,79,0.665,0.498,5,-8.185,1,0.0832,0.228,0.0,0.0757,0.127,81.967
Go Fuck Yourself,Two Feet,"['indie poptimism', 'modern rock']",First Steps,2016-07-29,129599,76,0.765,0.327,6,-8.029,1,0.277,0.571,0.0479,0.0787,0.292,74.931
Gold,Imagine Dragons,"['modern rock', 'pop', 'rock']",Smoke + Mirrors (Deluxe),2015-05-18,216813,55,0.416,0.459,9,-6.814,0,0.0317,0.0801,0.00653,0.0551,0.286,164.929
Gold Digger,Kanye West,"['chicago rap', 'hip hop', 'rap']",Late Registration,2005-08-30,207626,80,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034
Golddust,DJ Fresh,"['dancefloor dnb', 'drum and bass', 'uk dance']",Kryptonite,2010-08-16,191560,0,0.51,0.924,0,-1.14,1,0.145,0.276,0.0,0.385,0.206,176.836
